"","date","yn","day","night","dd","rate","d_rate","n_rate","dd_rate","month","year"
"129",2015-12-10,1,1,1,0,43.5416666666667,24.6144893802735,66.0774983004759,0,12,2015
"130",2015-12-11,1,1,0,0,2.15427278698095,4.69241773962804,0,0,12,2015
"131",2015-12-12,1,1,1,1,55.3461449409586,90.6822157434402,23.7040389184297,78.9854153455929,12,2015
"132",2015-12-13,1,1,1,1,115.583333333333,57.995038669196,121.139755766621,333.847125710676,12,2015
"133",2015-12-14,1,1,0,1,1.79166666666667,3.15420560747664,0,5.91282375236892,12,2015
"134",2015-12-15,0,0,0,0,0,0,0,0,12,2015
"135",2015-12-16,1,1,1,1,147.041666666667,298.403041825095,51.6260162601626,27.2383354350568,12,2015
"136",2015-12-17,1,1,1,1,39.9583333333333,45.513608428446,14.8713318284424,156.166456494325,12,2015
"137",2015-12-18,0,0,0,0,0,0,0,0,12,2015
"138",2015-12-19,0,0,0,0,0,0,0,0,12,2015
"139",2015-12-20,0,0,0,0,0,0,0,0,12,2015
"140",2015-12-21,0,0,0,0,0,0,0,0,12,2015
"141",2015-12-22,0,0,0,0,0,0,0,0,12,2015
"142",2015-12-23,0,0,0,0,0,0,0,0,12,2015
"143",2015-12-24,0,0,0,0,0,0,0,0,12,2015
"144",2015-12-25,0,0,0,0,0,0,0,0,12,2015
"145",2015-12-26,0,0,0,0,0,0,0,0,12,2015
"146",2015-12-27,1,1,0,0,3.33333333333333,8.42721287490856,0,0,12,2015
"147",2015-12-28,1,0,1,0,0.958333333333333,0,1.86991869918699,0,12,2015
"148",2015-12-29,1,1,0,0,42.2916666666667,106.779661016949,0,0,12,2015
"149",2015-12-30,1,1,0,1,16.5329612835717,26.7887199173188,0,65.0410612760581,12,2015
"150",2015-12-31,1,0,1,0,26.3795346148287,0,57.7138339920949,0,12,2015
"151",2016-01-01,0,0,0,0,0,0,0,0,1,2016
"152",2016-01-02,0,0,0,0,0,0,0,0,1,2016
"153",2016-01-03,0,0,0,0,0,0,0,0,1,2016
"154",2016-01-04,1,0,1,0,1.04166666666667,0,2.04151071793127,0,1,2016
"155",2016-01-05,0,0,0,0,0,0,0,0,1,2016
"156",2016-01-06,0,0,0,0,0,0,0,0,1,2016
"157",2016-01-07,0,0,0,0,0,0,0,0,1,2016
"158",2016-01-08,1,0,1,0,0.611681415929204,0,0.983830562514234,0,1,2016
"159",2016-01-09,0,0,0,0,0,0,0,0,1,2016
"160",2016-01-10,0,0,0,0,0,0,0,0,1,2016
"161",2016-01-11,1,1,0,0,4.75,11.7846374730797,0,0,1,2016
"162",2016-01-12,1,1,1,1,3.83333333333333,1.23799971342599,5.93135011441648,3.68994234465086,1,2016
"163",2016-01-13,0,0,0,0,0,0,0,0,1,2016
"164",2016-01-14,0,0,0,0,0,0,0,0,1,2016
"165",2016-01-15,0,0,0,0,0,0,0,0,1,2016
"166",2016-01-16,0,0,0,0,0,0,0,0,1,2016
"167",2016-01-17,0,0,0,0,0,0,0,0,1,2016
"168",2016-01-18,1,1,0,0,39.0833333333333,95.484235826382,0,0,1,2016
"169",2016-01-19,1,0,1,1,32.0833333333333,0,63.0322655256158,6.07003891050584,1,2016
"170",2016-01-20,1,1,1,1,2.69149014146449,1.65946413137424,0.500463392029657,17.2987012987013,1,2016
"171",2016-01-23,0,0,0,0,0,0,0,0,1,2016
"172",2016-01-24,1,1,0,0,0.5002895193978,1.20401337792642,0,0,1,2016
"173",2016-01-25,1,1,0,0,3.93923520167627,9.49361761817927,0,0,1,2016
"174",2016-01-26,1,1,0,0,6.55874673629243,15.7109103544128,0,0,1,2016
"175",2016-01-27,1,1,1,1,45.1617391304348,18.4181415929204,73.9047619047619,11.4210178453404,1,2016
"176",2016-01-28,1,1,1,1,65.2661870503597,1.29496402877698,121.977866729456,29.0092470277411,1,2016
"177",2016-01-29,1,1,1,1,78.8135902267064,4.5661252900232,149.029974038235,2.85336856010568,1,2016
"178",2016-01-30,1,1,1,0,30.7916666666667,69.4296265900698,2.89430125325136,0,1,2016
"179",2016-01-31,1,1,0,1,1.20917303683113,1.47420147420147,0,6.68435013262599,1,2016
"180",2016-02-01,0,0,0,0,0,0,0,0,2,2016
"181",2016-02-02,1,1,1,0,7.925380916517,1.95386702849389,14.5870575616732,0,2,2016
"182",2016-02-03,0,0,0,0,0,0,0,0,2,2016
"183",2016-02-09,1,1,1,0,53.6229635376261,123.266111972923,2.98901098901099,0,2,2016
"184",2016-02-10,1,1,0,0,14.2372881355932,14.2372881355932,0,0,2,2016
"185",2016-02-11,1,1,0,0,110.142034548944,110.142034548944,0,0,2,2016
"186",2016-02-12,1,1,1,1,6.82316118935837,5.06219578150352,7.394547010637,5.86160108548168,2,2016
"187",2016-02-14,1,1,0,0,3.54577056778679,3.54577056778679,0,0,2,2016
"188",2016-02-15,1,1,1,0,32.7916666666667,46.6476239937679,25.5684340320592,0,2,2016
"189",2016-02-16,1,1,1,0,24.920614759304,8.13428018076178,42.3005565862709,0,2,2016
"190",2016-02-17,1,0,0,1,0.25024619127614,0,0,2.95081967213115,2,2016
"191",2016-02-18,0,0,0,0,0,0,0,0,2,2016
"192",2016-02-19,1,1,1,1,17.7426479135185,1.47559882157039,33.7329974811083,17.76559287183,2,2016
"193",2016-02-20,1,1,0,0,2.79166666666667,6.15698787492023,0,0,2,2016
"194",2016-02-21,1,1,1,0,5.29166666666667,7.0516408038667,4.52147701582517,0,2,2016
"195",2016-02-22,1,1,1,1,27.7180739706909,50.0845503458878,3.17500314980471,41.6242257398486,2,2016
"196",2016-02-23,1,1,1,0,11.9475982532751,13.8248847926267,12.2866894197952,0,2,2016
"197",2016-02-24,1,1,1,1,17.7978464744703,31.9979856477402,0.730964467005076,32.749827705031,2,2016
"198",2016-02-25,1,1,1,1,8.95833333333333,7.40592072252885,9.8943885990584,12.4223602484472,2,2016
"199",2016-02-26,1,1,1,1,12.2916666666667,11.1613951743968,10.9383378016086,25.8563535911602,2,2016
"200",2016-02-27,1,1,1,0,8.75405280222325,16.0598130841122,2.86043829296424,0,2,2016
"201",2016-02-28,1,1,0,0,5.125,10.9957784951577,0,0,2,2016
"202",2016-02-29,1,1,0,0,20.4166666666667,43.652561247216,0,0,2,2016
"203",2016-03-01,1,1,0,0,0.55863921217547,1.2338518323227,0,0,3,2016
"204",2016-03-02,1,1,1,1,18.3999523440758,12.5248960040338,27.4882786336236,3.11015118790497,3,2016
"205",2016-03-03,1,1,1,1,7.2552783109405,8.79613133112751,5.53248854138582,7.73638968481375,3,2016
"206",2016-03-04,1,1,0,0,0.250057883769391,0.527472527472527,0,0,3,2016
"207",2016-03-05,0,0,0,0,0,0,0,0,3,2016
"208",2016-03-06,1,1,0,0,25.9583333333333,54.3643194764271,0,0,3,2016
"209",2016-03-07,0,0,0,0,0,0,0,0,3,2016
"210",2016-03-08,0,0,0,0,0,0,0,0,3,2016
"211",2016-03-09,1,0,1,0,1.125,0,2.58958305581457,0,3,2016
"212",2016-03-10,1,0,1,0,3.95833333333333,0,9.14683070339663,0,3,2016
"213",2016-03-11,0,0,0,0,0,0,0,0,3,2016
"214",2016-03-12,1,1,1,1,106.083333333333,96.8836104513064,103.508488278092,173.240611961057,3,2016
