V1,V2,V3
-121.310975609756,37.5,422.517395019531
-121.27743902439,37.5,413.267395019531
-121.243902439024,37.5,287.107391357422
-121.210365853659,37.5,141.8173828125
-121.176829268293,37.5,61.3573875427246
-121.143292682927,37.5,34.4073867797852
-121.109756097561,37.5,24.0073852539062
-121.076219512195,37.5,16.6973857879639
-121.042682926829,37.5,14.9604072570801
-121.009146341463,37.5,17.4304065704346
-120.975609756098,37.5,19.4304065704346
-120.942073170732,37.5,21.7504081726074
-120.908536585366,37.5,24.800407409668
-120.875,37.5,27.1604080200195
-120.841463414634,37.5,30.0804080963135
-120.807926829268,37.5,33.7904090881348
-120.774390243902,37.5,37.7721176147461
-120.740853658537,37.5,46.2921180725098
-120.707317073171,37.5,47.7821159362793
-120.673780487805,37.5,52.1321182250977
-120.640243902439,37.5,60.4521179199219
-120.606707317073,37.5,63.5321159362793
-120.573170731707,37.5,60.7521171569824
-120.539634146341,37.5,53.6621170043945
-120.506097560976,37.5,57.7488784790039
-120.47256097561,37.5,70.6488800048828
-120.439024390244,37.5,88.9988784790039
-120.405487804878,37.5,109.038879394531
-120.371951219512,37.5,144.198883056641
-120.338414634146,37.5,157.708877563477
-120.30487804878,37.5,151.818878173828
-120.271341463415,37.5,190.458877563477
-120.237804878049,37.5,262.738708496094
-120.204268292683,37.5,320.698699951172
-120.170731707317,37.5,323.468719482422
-120.137195121951,37.5,345.438720703125
-120.103658536585,37.5,431.108703613281
-120.07012195122,37.5,578.628723144531
-120.036585365854,37.5,680.388732910156
-120.003048780488,37.5,644.718688964844
-119.969512195122,37.5,694.077758789062
-119.935975609756,37.5,714.437744140625
-119.90243902439,37.5,828.517700195312
-119.868902439024,37.5,740.247741699219
-119.835365853659,37.5,834.047729492188
-119.801829268293,37.5,947.587707519531
-119.768292682927,37.5,1067.33776855469
-119.734756097561,37.5,1198.50769042969
-119.701219512195,37.5,1278.86743164062
-119.667682926829,37.5,1765.43737792969
-119.634146341463,37.5,1651.65747070312
-119.600609756098,37.5,1651.43737792969
-119.567073170732,37.5,1895.96740722656
-119.533536585366,37.5,2243.71752929688
-119.5,37.5,2470.17749023438
-125,37.4661538461538,-4210.76708984375
-124.966463414634,37.4661538461538,-4195.70751953125
-124.932926829268,37.4661538461538,-4174.45751953125
-124.899390243902,37.4661538461538,-4187.2470703125
-124.865853658537,37.4661538461538,-4194.01708984375
-124.832317073171,37.4661538461538,-4171.8271484375
-124.798780487805,37.4661538461538,-4132.375
-124.765243902439,37.4661538461538,-4083.54516601562
-124.731707317073,37.4661538461538,-4077.75512695312
-124.698170731707,37.4661538461538,-4100.89501953125
-124.664634146341,37.4661538461538,-4101.53515625
-124.631097560976,37.4661538461538,-4091.63500976562
-124.59756097561,37.4661538461538,-4085.89501953125
-124.564024390244,37.4661538461538,-4074.4150390625
-124.530487804878,37.4661538461538,-4058.04125976562
-124.496951219512,37.4661538461538,-4050.951171875
-124.463414634146,37.4661538461538,-4051.52124023438
-124.42987804878,37.4661538461538,-4025.11108398438
-124.396341463415,37.4661538461538,-4001.201171875
-124.362804878049,37.4661538461538,-3946.43115234375
-124.329268292683,37.4661538461538,-3896.01123046875
-124.295731707317,37.4661538461538,-3874.69116210938
-124.262195121951,37.4661538461538,-3859.9423828125
-124.228658536585,37.4661538461538,-3769.74243164062
-124.19512195122,37.4661538461538,-3744.78247070312
-124.161585365854,37.4661538461538,-3715.72241210938
-124.128048780488,37.4661538461538,-3668.41235351562
-124.094512195122,37.4661538461538,-3649.57250976562
-124.060975609756,37.4661538461538,-3681.38256835938
-124.02743902439,37.4661538461538,-3709.80249023438
