V1,V2,V3
-123.39539748954,37.5,-2230.76538085938
-123.378661087866,37.5,-2150.96533203125
-123.361924686192,37.5,-1996.39526367188
-123.345188284519,37.5,-1873.66528320312
-123.328451882845,37.5,-1784.48107910156
-123.311715481172,37.5,-1696.90112304688
-123.294979079498,37.5,-1631.4111328125
-123.278242677824,37.5,-1537.81115722656
-123.261506276151,37.5,-1492.13110351562
-123.244769874477,37.5,-1460.64111328125
-123.228033472803,37.5,-1344.50109863281
-123.21129707113,37.5,-1164.87109375
-123.194560669456,37.5,-1124.87280273438
-123.177824267782,37.5,-1047.09289550781
-123.161087866109,37.5,-999.512878417969
-123.144351464435,37.5,-914.132873535156
-123.127615062762,37.5,-882.772888183594
-123.110878661088,37.5,-895.352844238281
-123.094142259414,37.5,-854.162841796875
-123.077405857741,37.5,-760.312866210938
-123.060669456067,37.5,-621.063598632812
-123.043933054393,37.5,-539.533569335938
-123.02719665272,37.5,-467.213592529297
-123.010460251046,37.5,-382.713592529297
-122.993723849372,37.5,-304.813598632812
-122.976987447699,37.5,-232.333587646484
-122.960251046025,37.5,-193.673583984375
-122.943514644351,37.5,-150.313598632812
-122.926778242678,37.5,-126.177627563477
-122.910041841004,37.5,-114.64762878418
-122.893305439331,37.5,-107.627632141113
-122.876569037657,37.5,-102.107627868652
-122.859832635983,37.5,-97.4876327514648
-122.84309623431,37.5,-94.0776290893555
-122.826359832636,37.5,-90.2876281738281
-122.809623430962,37.5,-87.5476303100586
-122.792887029289,37.5,-85.2130279541016
-122.776150627615,37.5,-83.2630233764648
-122.759414225941,37.5,-81.2430267333984
-122.742677824268,37.5,-77.6830291748047
-122.725941422594,37.5,-74.9730224609375
-122.70920502092,37.5,-72.1230239868164
-122.692468619247,37.5,-69.6430282592773
-122.675732217573,37.5,-67.5130233764648
-122.6589958159,37.5,-65.1774368286133
-122.642259414226,37.5,-62.447437286377
-122.625523012552,37.5,-60.2674369812012
-122.608786610879,37.5,-57.4574394226074
-122.592050209205,37.5,-55.5274391174316
-122.575313807531,37.5,-52.0974388122559
-122.558577405858,37.5,-48.4174385070801
-122.541841004184,37.5,-43.2174377441406
-122.52510460251,37.5,-35.358829498291
-122.508368200837,37.5,-20.358829498291
-122.491631799163,37.5,-4.79883003234863
-122.47489539749,37.5,-9.43883037567139
-122.458158995816,37.5,8.30117034912109
-122.441422594142,37.5,65.6711730957031
-122.424686192469,37.5,129.821166992188
-122.407949790795,37.5,175.461166381836
-122.391213389121,37.5,132.780914306641
-122.374476987448,37.5,214.800903320312
